run_id,model,lr,batch_size,accuracy,train_time_s,eval_time_s,pipeline_time_s
1779218226751229,SimpleNN,0.05,128,0.8444,307.5,4.5,320.4
1779217842578814,SimpleNN,0.01,64,0.9525,365.8,4.8,378.7
1779217442555889,SimpleNN,0.001,32,0.9756,380.5,5.2,395.0
1779215266546352,CNN,0.001,64,0.992,2145.8,14.7,2169.5
1779213090784357,CNN,0.001,64,0.9919,2147.0,14.2,2169.9
1779211181453867,CNN,0.001,64,0.9919,1880.5,14.7,1903.0
1779210705158099,DeepNN,0.001,64,0.9803,459.1,4.8,471.5
1779210224126395,DeepNN,0.001,64,0.9825,461.9,5.0,476.1
1779209722640794,DeepNN,0.001,64,0.9805,470.3,5.0,495.0
1779209384192856,SimpleNN,0.001,64,0.9766,319.2,4.6,331.6
1779209042927361,SimpleNN,0.001,64,0.9797,324.0,4.7,336.3
1779208836058684,SimpleNN,0.001,64,0.9784,188.9,4.5,202.4
